id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
3021,Male,Urban,High School,5L-10L,1,5,0,More than 1,A,Platinum,51384
3022,Male,Urban,Bachelor,More than 10L,1,2,0,More than 1,B,Platinum,95304
3023,Female,Rural,High School,More than 10L,0,7,0,More than 1,A,Silver,58932
3024,Male,Rural,Bachelor,More than 10L,1,4,0,1,A,Silver,47160
3025,Male,Urban,High School,5L-10L,1,5,3661,1,A,Silver,34032
3026,Female,Urban,Bachelor,5L-10L,1,5,5177,1,A,Platinum,29304
3027,Male,Urban,High School,2L-5L,1,4,8384,1,A,Silver,29784
3028,Female,Urban,High School,5L-10L,1,4,0,1,A,Silver,33204
3029,Female,Urban,Bachelor,5L-10L,1,3,0,More than 1,A,Gold,275748
3030,Male,Urban,Bachelor,5L-10L,0,7,3486,1,C,Platinum,34884
3031,Female,Rural,High School,More than 10L,0,3,3214,1,C,Gold,66948
3032,Female,Urban,Bachelor,2L-5L,1,5,3827,1,B,Platinum,34224
3033,Female,Rural,Bachelor,5L-10L,0,6,6282,More than 1,A,Gold,29772
3034,Male,Urban,Bachelor,5L-10L,0,8,3958,1,B,Platinum,66324
3035,Male,Rural,Bachelor,5L-10L,1,8,2218,More than 1,A,Gold,235848
3036,Female,Rural,High School,More than 10L,0,7,2631,1,A,Platinum,38592
3037,Male,Rural,High School,More than 10L,0,6,7655,More than 1,A,Platinum,72516
3038,Male,Urban,Others,2L-5L,0,8,9557,More than 1,C,Platinum,64800
3039,Female,Urban,High School,2L-5L,0,1,6241,1,A,Silver,32556
3040,Male,Urban,High School,5L-10L,0,7,3898,More than 1,A,Gold,96708
3041,Female,Urban,High School,2L-5L,0,7,0,More than 1,B,Platinum,53808
3042,Male,Rural,High School,5L-10L,0,6,0,1,B,Silver,33780
3043,Male,Urban,Bachelor,2L-5L,0,2,11899,More than 1,B,Platinum,60264
3044,Female,Rural,High School,5L-10L,0,7,0,1,B,Platinum,32628
3045,Male,Urban,High School,5L-10L,1,4,6606,More than 1,A,Platinum,77460
3046,Male,Urban,High School,5L-10L,0,0,0,More than 1,A,Gold,68076
3047,Male,Urban,Bachelor,5L-10L,1,3,3330,More than 1,A,Gold,71748
3048,Male,Urban,High School,5L-10L,1,6,6612,1,A,Platinum,30240
3049,Male,Urban,Bachelor,2L-5L,0,6,5116,More than 1,C,Platinum,153552
3050,Male,Urban,High School,5L-10L,0,4,3980,1,A,Platinum,31368
3051,Male,Urban,Bachelor,5L-10L,0,6,9678,More than 1,A,Gold,295956
3052,Male,Rural,High School,5L-10L,1,5,2716,1,A,Platinum,49548
3053,Male,Urban,Bachelor,2L-5L,1,7,0,1,B,Silver,34236
3054,Female,Urban,High School,5L-10L,1,7,3427,More than 1,A,Gold,113484
3055,Male,Urban,High School,5L-10L,1,2,4186,More than 1,A,Platinum,94056
3056,Male,Rural,Bachelor,5L-10L,1,6,2370,1,B,Platinum,33804
3057,Male,Urban,Bachelor,5L-10L,0,8,2872,More than 1,A,Platinum,28716
3058,Male,Urban,Bachelor,5L-10L,1,6,0,1,A,Platinum,33360
3059,Female,Rural,Bachelor,More than 10L,1,8,0,1,B,Gold,54252
3060,Female,Urban,High School,5L-10L,0,1,9031,More than 1,A,Gold,104256
3061,Male,Urban,High School,5L-10L,1,4,3033,More than 1,A,Silver,63180
3062,Female,Urban,High School,2L-5L,1,4,3701,1,A,Gold,49020
3063,Male,Urban,High School,5L-10L,0,2,9778,More than 1,A,Platinum,145452
3064,Male,Urban,Bachelor,2L-5L,1,8,6383,More than 1,A,Silver,380184
3065,Male,Urban,Bachelor,5L-10L,0,3,6488,More than 1,A,Silver,106356
3066,Female,Urban,High School,2L-5L,0,8,2476,More than 1,A,Gold,101808
3067,Male,Urban,Bachelor,5L-10L,1,7,3932,1,A,Platinum,89976
3068,Female,Urban,High School,More than 10L,0,8,0,More than 1,B,Silver,64728
3069,Male,Rural,Bachelor,5L-10L,1,5,2124,More than 1,C,Platinum,142236
3070,Male,Rural,High School,More than 10L,0,7,0,1,A,Silver,86784
3071,Male,Rural,High School,5L-10L,1,0,2067,More than 1,A,Gold,64704
3072,Male,Rural,High School,5L-10L,1,6,0,1,B,Silver,31848
3073,Female,Rural,High School,More than 10L,1,6,2345,More than 1,A,Gold,72180
3074,Male,Urban,Bachelor,2L-5L,1,6,10915,More than 1,A,Silver,371112
3075,Male,Rural,High School,More than 10L,1,6,0,More than 1,B,Gold,58188
3076,Male,Urban,Bachelor,5L-10L,1,6,9869,More than 1,A,Platinum,65112
3077,Male,Urban,High School,5L-10L,0,6,6120,More than 1,A,Platinum,319752
3078,Male,Urban,Bachelor,5L-10L,0,4,3911,1,C,Platinum,33144
3079,Male,Urban,High School,5L-10L,1,6,5370,More than 1,B,Platinum,103752
3080,Male,Rural,Bachelor,More than 10L,1,1,2659,More than 1,A,Silver,265872
3081,Female,Urban,High School,2L-5L,0,6,6209,1,A,Platinum,31680
3082,Male,Urban,Bachelor,2L-5L,1,7,0,More than 1,B,Silver,60840
3083,Male,Urban,High School,5L-10L,0,7,10532,More than 1,A,Platinum,69672
3084,Male,Urban,High School,2L-5L,1,8,10088,More than 1,A,Silver,99132
3085,Female,Urban,High School,5L-10L,1,7,5361,1,A,Platinum,63588
3086,Male,Rural,High School,5L-10L,0,8,0,1,B,Silver,105036
3087,Male,Urban,High School,2L-5L,0,6,3782,More than 1,A,Silver,63384
3088,Male,Urban,High School,2L-5L,1,3,4289,More than 1,B,Platinum,61584
3089,Male,Urban,Bachelor,2L-5L,0,7,4122,More than 1,B,Platinum,71580
3090,Male,Urban,Bachelor,2L-5L,1,3,4067,More than 1,A,Platinum,68652
3091,Female,Urban,High School,2L-5L,1,2,7430,More than 1,B,Silver,65184
3092,Female,Urban,Bachelor,2L-5L,1,2,4995,1,A,Silver,64920
3093,Male,Urban,Bachelor,5L-10L,1,4,5702,More than 1,C,Platinum,110712
3094,Female,Rural,Bachelor,5L-10L,1,4,2347,1,A,Gold,33828
3095,Female,Urban,Bachelor,5L-10L,1,0,2113,More than 1,A,Silver,60288
3096,Male,Urban,High School,5L-10L,0,2,5878,More than 1,A,Gold,105072
3097,Female,Rural,Bachelor,2L-5L,0,7,0,More than 1,B,Platinum,193572
3098,Male,Rural,High School,5L-10L,1,1,0,More than 1,B,Silver,61428
3099,Male,Urban,Others,2L-5L,1,5,5869,More than 1,A,Platinum,226728
3100,Male,Urban,Bachelor,5L-10L,1,5,2855,1,A,Platinum,33960
3101,Female,Urban,High School,5L-10L,0,1,10027,More than 1,A,Platinum,98640
3102,Male,Rural,Bachelor,5L-10L,1,7,0,1,B,Gold,44784
3103,Male,Urban,High School,5L-10L,0,8,6853,More than 1,A,Platinum,58740
3104,Female,Urban,High School,5L-10L,0,3,4205,1,A,Platinum,32928
3105,Male,Urban,Bachelor,2L-5L,1,6,3980,1,B,Platinum,56736
3106,Male,Urban,Bachelor,2L-5L,1,7,7973,More than 1,A,Platinum,56724
3107,Female,Urban,Bachelor,<=2L,0,5,11945,1,A,Silver,52764
3108,Male,Urban,Bachelor,5L-10L,1,5,10680,More than 1,A,Platinum,134568
3109,Male,Urban,Bachelor,5L-10L,1,1,6249,1,A,Gold,36516
3110,Male,Urban,High School,2L-5L,1,1,6209,1,C,Platinum,36324
3111,Male,Urban,Bachelor,5L-10L,1,4,6485,More than 1,A,Platinum,102696
3112,Female,Urban,High School,2L-5L,1,4,9373,1,B,Silver,53796
3113,Female,Urban,High School,2L-5L,0,1,4293,1,A,Platinum,162744
3114,Male,Rural,High School,5L-10L,1,8,2701,More than 1,A,Platinum,66024
3115,Male,Urban,Bachelor,2L-5L,0,1,8325,More than 1,A,Platinum,389472
3116,Male,Urban,Bachelor,5L-10L,1,2,0,More than 1,A,Platinum,62160
3117,Male,Urban,High School,5L-10L,1,2,3608,More than 1,A,Gold,187956
3118,Male,Urban,Bachelor,2L-5L,1,1,11131,1,A,Platinum,29700
3119,Female,Rural,Bachelor,5L-10L,1,7,2943,1,B,Silver,34896
3120,Male,Rural,Bachelor,5L-10L,1,4,2543,More than 1,A,Platinum,66960
3121,Female,Urban,Bachelor,2L-5L,1,6,5955,More than 1,A,Silver,63396
3122,Male,Rural,High School,5L-10L,0,1,2438,1,A,Platinum,49620
3123,Male,Rural,Bachelor,5L-10L,1,7,2924,More than 1,B,Silver,84528
3124,Female,Rural,High School,More than 10L,0,4,2261,More than 1,A,Platinum,145296
3125,Male,Urban,High School,5L-10L,0,6,3268,More than 1,B,Platinum,63372
3126,Female,Urban,High School,5L-10L,1,5,11805,1,A,Gold,33168
3127,Female,Urban,High School,More than 10L,0,5,6181,1,A,Platinum,60696
3128,Female,Rural,High School,5L-10L,1,7,10612,More than 1,B,Platinum,61872
3129,Male,Rural,High School,5L-10L,1,8,3919,More than 1,A,Gold,108096
3130,Male,Urban,High School,2L-5L,1,0,9560,More than 1,A,Gold,90768
3131,Male,Rural,Bachelor,5L-10L,1,5,0,More than 1,A,Gold,97644
3132,Female,Urban,High School,5L-10L,0,6,11228,More than 1,A,Gold,55344
3133,Male,Rural,Bachelor,5L-10L,0,1,0,More than 1,B,Platinum,156648
3134,Female,Urban,Bachelor,<=2L,1,4,3418,More than 1,A,Platinum,111600
3135,Male,Urban,High School,2L-5L,1,6,0,More than 1,B,Silver,69564
3136,Male,Urban,Bachelor,5L-10L,0,2,8596,More than 1,A,Gold,118668
3137,Male,Rural,Bachelor,5L-10L,1,5,3202,1,B,Silver,34008
3138,Female,Rural,Bachelor,5L-10L,0,2,0,More than 1,B,Gold,68424
3139,Male,Rural,High School,5L-10L,1,7,4606,More than 1,A,Silver,60240
3140,Male,Rural,Bachelor,5L-10L,0,7,2324,More than 1,B,Platinum,56832
3141,Male,Urban,High School,5L-10L,1,5,4147,More than 1,A,Gold,59760
3142,Female,Urban,High School,5L-10L,1,4,5431,More than 1,A,Platinum,83748
3143,Male,Urban,High School,2L-5L,1,2,4276,More than 1,C,Silver,134928
3144,Male,Rural,Bachelor,More than 10L,1,3,2447,More than 1,B,Silver,112080
3145,Female,Urban,Bachelor,2L-5L,1,5,0,More than 1,A,Silver,91848
3146,Male,Urban,High School,5L-10L,1,2,10043,More than 1,A,Platinum,66900
3147,Female,Urban,Bachelor,5L-10L,0,6,5630,1,A,Platinum,31560
3148,Male,Urban,Bachelor,<=2L,0,0,4269,1,A,Platinum,67920
3149,Male,Urban,Bachelor,5L-10L,1,8,5487,More than 1,B,Platinum,59832
3150,Female,Urban,Bachelor,2L-5L,1,6,5874,More than 1,C,Gold,68628
3151,Female,Urban,Bachelor,5L-10L,0,4,2056,1,B,Platinum,34572
3152,Male,Urban,High School,More than 10L,0,1,7112,More than 1,A,Platinum,91692
3153,Male,Rural,High School,5L-10L,1,6,4152,More than 1,C,Platinum,104460
3154,Male,Urban,High School,5L-10L,1,1,4522,1,A,Silver,40044
3155,Male,Urban,High School,2L-5L,0,5,5505,More than 1,A,Platinum,71208
3156,Female,Urban,High School,2L-5L,0,0,0,More than 1,A,Silver,107364
3157,Male,Urban,High School,5L-10L,1,5,3001,1,A,Platinum,70296
3158,Female,Urban,Bachelor,5L-10L,0,6,4017,More than 1,A,Silver,95700
3159,Female,Urban,Bachelor,<=2L,1,2,5234,More than 1,A,Silver,101844
3160,Female,Rural,High School,More than 10L,0,8,0,More than 1,B,Platinum,60516
3161,Female,Urban,Bachelor,2L-5L,1,5,5767,More than 1,B,Silver,562356
3162,Female,Rural,High School,5L-10L,0,5,4019,1,A,Platinum,31968
3163,Female,Urban,Bachelor,2L-5L,0,2,8927,More than 1,B,Silver,98916
3164,Female,Rural,Bachelor,5L-10L,1,0,0,1,A,Silver,66492
3165,Male,Rural,High School,5L-10L,1,6,2279,More than 1,A,Gold,53124
3166,Male,Urban,Bachelor,5L-10L,1,0,5089,More than 1,A,Platinum,185232
3167,Female,Urban,Bachelor,5L-10L,0,5,6844,More than 1,B,Silver,335364
3168,Female,Urban,Bachelor,5L-10L,0,5,4066,1,A,Platinum,65016
3169,Male,Urban,High School,5L-10L,1,6,5929,1,B,Platinum,53232
3170,Male,Rural,High School,5L-10L,0,3,5551,More than 1,A,Silver,441876
3171,Male,Urban,Bachelor,2L-5L,0,1,9669,More than 1,A,Silver,268092
3172,Male,Urban,Bachelor,2L-5L,0,3,6219,More than 1,A,Silver,399480
3173,Female,Urban,Bachelor,5L-10L,0,5,11447,More than 1,A,Silver,66732
3174,Male,Rural,Others,More than 10L,0,0,4148,1,B,Platinum,50568
3175,Male,Urban,Bachelor,5L-10L,1,0,7972,More than 1,B,Platinum,63264
3176,Female,Urban,Bachelor,5L-10L,0,4,5506,More than 1,A,Silver,59988
3177,Male,Urban,Bachelor,2L-5L,1,6,4227,More than 1,B,Platinum,56100
3178,Female,Urban,High School,5L-10L,0,4,3951,More than 1,B,Platinum,104016
3179,Female,Urban,High School,<=2L,0,2,3936,More than 1,A,Silver,61188
3180,Male,Rural,Bachelor,More than 10L,1,5,0,1,B,Platinum,69240
3181,Female,Urban,High School,5L-10L,1,2,2589,More than 1,A,Platinum,303264
3182,Male,Rural,Bachelor,5L-10L,1,5,0,More than 1,A,Gold,68376
3183,Male,Urban,High School,5L-10L,0,7,5459,More than 1,B,Gold,62004
3184,Female,Rural,Others,2L-5L,1,0,0,1,B,Silver,32916
3185,Male,Urban,High School,5L-10L,1,5,4091,More than 1,A,Platinum,69564
3186,Female,Urban,Bachelor,2L-5L,0,7,5049,More than 1,C,Platinum,91044
3187,Male,Urban,Bachelor,2L-5L,0,5,11635,More than 1,A,Platinum,96960
3188,Female,Urban,Bachelor,5L-10L,1,6,4037,More than 1,A,Platinum,58488
3189,Male,Rural,Others,5L-10L,1,0,9344,More than 1,A,Silver,50700
3190,Male,Urban,High School,5L-10L,0,6,6066,1,A,Platinum,48432
3191,Male,Urban,Bachelor,2L-5L,1,6,3956,1,A,Silver,44124
3192,Male,Urban,Bachelor,2L-5L,0,1,5700,1,A,Platinum,31740
3193,Male,Urban,High School,5L-10L,1,3,6277,More than 1,A,Gold,48252
3194,Female,Urban,High School,5L-10L,1,3,0,More than 1,A,Platinum,100944
3195,Female,Urban,High School,5L-10L,0,0,5304,More than 1,A,Platinum,91848
3196,Female,Rural,Bachelor,5L-10L,1,6,2016,More than 1,A,Gold,100860
3197,Female,Urban,High School,5L-10L,1,4,4813,More than 1,B,Silver,63264
3198,Male,Urban,High School,More than 10L,0,7,6088,More than 1,B,Gold,60792
3199,Female,Rural,High School,2L-5L,1,2,3421,More than 1,B,Gold,52056
3200,Female,Rural,Bachelor,5L-10L,0,6,4216,More than 1,A,Platinum,64164
3201,Male,Urban,High School,5L-10L,0,8,8158,More than 1,A,Gold,206124
3202,Female,Rural,Bachelor,More than 10L,1,3,5289,1,A,Platinum,35532
3203,Male,Urban,High School,5L-10L,0,3,6481,1,A,Silver,48276
3204,Male,Urban,High School,<=2L,0,6,4121,More than 1,B,Silver,73956
3205,Male,Urban,Bachelor,5L-10L,0,1,2532,More than 1,B,Silver,65820
3206,Male,Urban,Bachelor,2L-5L,0,3,3759,More than 1,A,Platinum,63432
3207,Female,Urban,Bachelor,5L-10L,0,8,5956,More than 1,A,Platinum,57384
3208,Male,Urban,Bachelor,2L-5L,0,3,5822,More than 1,A,Platinum,65580
3209,Male,Urban,High School,5L-10L,1,3,4969,More than 1,A,Gold,50256
3210,Female,Urban,Bachelor,5L-10L,1,6,6657,More than 1,A,Platinum,63000
3211,Female,Urban,High School,5L-10L,1,4,3571,1,B,Silver,39996
3212,Male,Urban,High School,5L-10L,0,0,0,More than 1,A,Silver,198084
3213,Male,Urban,High School,5L-10L,1,5,4344,1,A,Gold,29628
3214,Male,Urban,Bachelor,2L-5L,0,6,6028,More than 1,A,Gold,75300
3215,Female,Rural,High School,5L-10L,0,4,0,More than 1,A,Platinum,66480
3216,Male,Urban,High School,5L-10L,1,6,5816,More than 1,A,Gold,56364
3217,Female,Rural,Bachelor,5L-10L,1,4,0,More than 1,A,Gold,67932
3218,Female,Urban,High School,2L-5L,1,6,4457,More than 1,A,Platinum,123540
3219,Female,Urban,Bachelor,5L-10L,0,8,5629,More than 1,A,Platinum,67548
3220,Male,Urban,Bachelor,2L-5L,1,5,6715,More than 1,A,Platinum,67212
3221,Male,Urban,Bachelor,5L-10L,0,7,7694,More than 1,A,Silver,103728
3222,Female,Urban,Bachelor,5L-10L,1,5,3689,More than 1,A,Gold,175116
3223,Male,Urban,High School,2L-5L,1,7,4352,More than 1,C,Platinum,111024
3224,Male,Rural,Bachelor,More than 10L,1,7,0,More than 1,B,Silver,75624
3225,Male,Urban,High School,5L-10L,1,4,8203,More than 1,A,Gold,257856
3226,Male,Rural,High School,5L-10L,1,5,0,More than 1,A,Platinum,52404
3227,Female,Urban,Bachelor,5L-10L,0,5,6735,More than 1,A,Platinum,71976
3228,Male,Urban,High School,5L-10L,1,1,6297,1,A,Platinum,29652
3229,Male,Urban,High School,5L-10L,0,4,7074,More than 1,A,Gold,59772
3230,Male,Urban,Others,2L-5L,0,4,2338,More than 1,C,Silver,92688
3231,Male,Rural,High School,2L-5L,1,6,0,1,B,Platinum,68196
3232,Male,Rural,Bachelor,5L-10L,1,4,0,1,B,Gold,32712
3233,Male,Rural,Bachelor,5L-10L,0,4,3931,More than 1,A,Gold,221832
3234,Male,Urban,High School,2L-5L,1,5,2238,More than 1,B,Platinum,68988
3235,Male,Urban,Bachelor,5L-10L,1,7,3708,More than 1,A,Platinum,62580
3236,Male,Rural,High School,More than 10L,1,4,0,1,A,Silver,30048
3237,Male,Urban,High School,2L-5L,0,7,5656,More than 1,B,Platinum,104580
3238,Female,Urban,Bachelor,More than 10L,0,6,8998,1,A,Silver,59148
3239,Male,Urban,Bachelor,5L-10L,1,5,5661,1,A,Gold,51696
3240,Male,Urban,Bachelor,2L-5L,1,4,6680,1,A,Platinum,61248
3241,Male,Urban,Bachelor,5L-10L,1,7,3521,More than 1,A,Platinum,67296
3242,Male,Urban,Bachelor,More than 10L,1,4,16146,More than 1,A,Platinum,61728
3243,Male,Rural,Bachelor,5L-10L,0,5,0,More than 1,A,Silver,93468
3244,Female,Urban,Bachelor,5L-10L,0,6,6622,1,A,Silver,36048
3245,Male,Rural,High School,2L-5L,1,8,5192,More than 1,A,Gold,69420
3246,Male,Urban,High School,2L-5L,1,5,8103,More than 1,A,Silver,66468
3247,Male,Rural,Bachelor,More than 10L,1,7,3707,More than 1,A,Platinum,64032
3248,Male,Urban,Bachelor,2L-5L,1,5,3691,More than 1,B,Silver,59100
3249,Male,Urban,Bachelor,2L-5L,0,3,4613,More than 1,A,Platinum,183480
3250,Male,Urban,Bachelor,5L-10L,0,2,4013,More than 1,A,Platinum,315984
3251,Male,Urban,Bachelor,5L-10L,1,7,5486,More than 1,A,Platinum,160548
3252,Male,Rural,Bachelor,More than 10L,1,7,6397,More than 1,B,Platinum,61344
3253,Female,Urban,Bachelor,2L-5L,1,3,5288,More than 1,A,Gold,86316
3254,Male,Rural,High School,More than 10L,1,4,0,1,A,Platinum,67476
3255,Female,Rural,Bachelor,More than 10L,0,8,0,More than 1,B,Platinum,108120
3256,Male,Urban,Bachelor,More than 10L,1,4,10393,1,B,Silver,61992
3257,Female,Rural,High School,5L-10L,0,3,0,More than 1,B,Platinum,97236
3258,Male,Rural,High School,More than 10L,0,6,2144,More than 1,C,Platinum,50292
3259,Male,Urban,High School,2L-5L,1,8,4234,More than 1,A,Platinum,65460
3260,Female,Urban,Bachelor,2L-5L,0,6,5913,More than 1,A,Platinum,69768
3261,Female,Urban,High School,5L-10L,1,8,4010,1,B,Gold,39684
3262,Female,Urban,High School,5L-10L,1,4,3472,More than 1,A,Silver,93240
3263,Male,Rural,Others,5L-10L,1,1,0,More than 1,B,Platinum,48492
3264,Male,Urban,High School,More than 10L,1,7,5388,More than 1,A,Silver,101616
3265,Male,Urban,High School,More than 10L,0,2,6664,More than 1,A,Platinum,99792
3266,Male,Urban,High School,5L-10L,0,5,0,1,A,Silver,29544
3267,Male,Urban,Bachelor,5L-10L,0,4,5630,More than 1,A,Silver,35352
3268,Female,Urban,Bachelor,<=2L,0,0,5036,1,A,Silver,65976
3269,Male,Rural,High School,5L-10L,0,1,0,More than 1,A,Silver,62652
3270,Male,Urban,High School,2L-5L,1,6,4544,More than 1,B,Platinum,104904
3271,Male,Urban,Bachelor,5L-10L,1,7,3376,More than 1,A,Platinum,69504
3272,Male,Urban,Bachelor,More than 10L,1,1,6833,More than 1,A,Platinum,70032
3273,Female,Urban,Bachelor,2L-5L,1,4,5293,More than 1,A,Silver,143688
3274,Female,Urban,Bachelor,More than 10L,0,5,5032,1,A,Gold,34800
3275,Female,Rural,High School,5L-10L,0,6,0,More than 1,A,Platinum,98124
3276,Female,Rural,Bachelor,5L-10L,0,2,0,More than 1,B,Silver,100860
3277,Female,Urban,High School,5L-10L,1,7,6642,More than 1,A,Platinum,61188
3278,Female,Urban,High School,2L-5L,0,2,8183,More than 1,C,Platinum,111876
3279,Female,Urban,High School,2L-5L,1,8,5125,More than 1,A,Platinum,102708
3280,Female,Urban,Bachelor,<=2L,0,8,5870,1,A,Platinum,32628
3281,Male,Urban,High School,More than 10L,0,7,4423,More than 1,A,Gold,60840
3282,Male,Rural,High School,5L-10L,0,6,5626,More than 1,A,Gold,60708
3283,Male,Urban,Bachelor,<=2L,1,7,6329,More than 1,A,Silver,60516
3284,Female,Rural,Bachelor,2L-5L,0,3,2592,More than 1,B,Silver,479232
3285,Male,Urban,Bachelor,2L-5L,0,6,6159,More than 1,A,Silver,300072
3286,Male,Urban,High School,More than 10L,0,5,2689,1,A,Platinum,64716
3287,Male,Rural,High School,More than 10L,1,4,3171,More than 1,A,Platinum,59028
3288,Male,Urban,High School,2L-5L,1,8,8202,More than 1,A,Platinum,329040
3289,Female,Rural,High School,5L-10L,1,5,5703,1,A,Gold,31452
3290,Male,Rural,Bachelor,5L-10L,0,6,5551,More than 1,B,Platinum,65304
3291,Female,Urban,High School,2L-5L,1,5,3887,1,C,Gold,31200
3292,Female,Rural,High School,5L-10L,0,1,3900,1,A,Silver,69624
3293,Male,Rural,Bachelor,5L-10L,0,7,2725,More than 1,A,Platinum,68556
3294,Female,Urban,Bachelor,5L-10L,1,7,9164,More than 1,A,Platinum,538356
3295,Male,Urban,Bachelor,2L-5L,1,5,15773,More than 1,B,Silver,78744
3296,Male,Rural,High School,More than 10L,0,7,0,More than 1,A,Platinum,57864
3297,Female,Rural,High School,More than 10L,1,8,0,More than 1,A,Platinum,111192
3298,Female,Urban,High School,More than 10L,0,7,2482,More than 1,A,Platinum,76080
3299,Male,Urban,High School,5L-10L,1,1,6801,More than 1,A,Platinum,49296
3300,Female,Rural,High School,5L-10L,0,5,2023,1,C,Platinum,35268
3301,Male,Rural,High School,5L-10L,0,0,4294,More than 1,B,Silver,54888
3302,Male,Urban,Bachelor,5L-10L,1,8,5901,More than 1,C,Platinum,100608
3303,Male,Urban,High School,5L-10L,1,8,4318,More than 1,A,Silver,61920
3304,Female,Urban,Bachelor,More than 10L,0,2,15504,More than 1,A,Gold,99312
3305,Female,Urban,High School,2L-5L,1,4,5400,1,A,Gold,33372
3306,Male,Urban,Bachelor,More than 10L,1,7,9217,More than 1,A,Platinum,61944
3307,Female,Urban,High School,5L-10L,0,6,6995,More than 1,A,Gold,106584
3308,Male,Rural,Bachelor,5L-10L,1,6,3555,More than 1,A,Silver,63768
3309,Male,Urban,High School,More than 10L,1,6,6451,More than 1,A,Gold,64920
3310,Female,Urban,Bachelor,2L-5L,1,5,5981,More than 1,A,Platinum,66420
3311,Female,Urban,Bachelor,<=2L,1,7,5205,1,A,Platinum,30720
3312,Male,Rural,High School,5L-10L,1,5,0,1,B,Platinum,36768
3313,Male,Rural,Bachelor,5L-10L,0,3,0,1,A,Platinum,29460
3314,Male,Rural,Bachelor,5L-10L,1,4,3928,More than 1,A,Platinum,57024
3315,Female,Urban,Bachelor,More than 10L,0,3,5198,More than 1,B,Gold,69768
3316,Male,Urban,Bachelor,5L-10L,1,8,6836,More than 1,A,Gold,61512
3317,Female,Urban,High School,5L-10L,1,4,11516,More than 1,A,Silver,67632
3318,Male,Urban,High School,5L-10L,0,5,0,More than 1,B,Platinum,70968
3319,Female,Rural,High School,More than 10L,0,7,0,More than 1,B,Platinum,55800
3320,Female,Rural,High School,More than 10L,0,1,2956,1,A,Silver,33384
3321,Female,Urban,Bachelor,5L-10L,1,7,5308,More than 1,A,Gold,103032
3322,Male,Urban,Bachelor,5L-10L,1,6,4209,1,A,Silver,63276
3323,Female,Rural,High School,5L-10L,1,3,2805,More than 1,A,Gold,90540
3324,Female,Urban,High School,5L-10L,1,1,6693,More than 1,B,Silver,68916
3325,Female,Urban,Bachelor,5L-10L,1,6,4009,More than 1,A,Platinum,106356
3326,Female,Urban,High School,More than 10L,1,2,0,More than 1,A,Platinum,76584
3327,Male,Urban,Bachelor,2L-5L,1,8,10119,More than 1,A,Platinum,68328
3328,Male,Urban,High School,More than 10L,0,1,2617,More than 1,A,Gold,94392
3329,Female,Urban,Bachelor,5L-10L,0,6,5832,1,B,Silver,89592
3330,Male,Urban,Bachelor,More than 10L,0,0,6774,More than 1,B,Platinum,54600
3331,Male,Urban,High School,5L-10L,1,7,0,1,A,Silver,67764
3332,Female,Urban,High School,5L-10L,1,0,5719,More than 1,A,Gold,99000
3333,Male,Rural,High School,More than 10L,1,7,0,1,B,Silver,36468
3334,Male,Urban,Bachelor,2L-5L,0,7,0,More than 1,B,Platinum,64824
3335,Male,Rural,Bachelor,More than 10L,1,6,0,More than 1,B,Platinum,98028
3336,Female,Urban,Bachelor,2L-5L,1,5,7060,More than 1,B,Silver,77748
3337,Male,Rural,Bachelor,5L-10L,1,6,2569,More than 1,B,Platinum,64596
3338,Female,Urban,Bachelor,5L-10L,1,3,3043,More than 1,A,Platinum,62136
3339,Female,Urban,High School,2L-5L,0,3,2308,1,A,Silver,54444
3340,Female,Rural,Bachelor,5L-10L,0,8,0,More than 1,A,Gold,91992
3341,Male,Urban,Bachelor,More than 10L,1,6,4231,More than 1,B,Silver,101880
3342,Female,Rural,High School,More than 10L,1,0,0,1,C,Platinum,67164
3343,Male,Urban,Bachelor,2L-5L,0,6,5847,More than 1,A,Gold,363552
3344,Male,Rural,Bachelor,More than 10L,0,7,0,More than 1,A,Gold,68364
3345,Female,Urban,High School,2L-5L,1,6,6669,More than 1,B,Platinum,92844
3346,Male,Urban,Bachelor,5L-10L,0,5,4996,More than 1,A,Platinum,174048
3347,Female,Urban,High School,More than 10L,1,7,0,More than 1,A,Platinum,100464
3348,Male,Urban,Bachelor,5L-10L,1,7,9842,More than 1,B,Gold,103560
3349,Male,Rural,High School,5L-10L,1,1,4337,1,A,Platinum,32628
3350,Male,Urban,High School,More than 10L,0,0,3737,More than 1,A,Platinum,283752
3351,Male,Urban,High School,5L-10L,0,6,6321,1,A,Gold,97056
3352,Male,Urban,High School,5L-10L,0,5,5398,1,C,Silver,33480
3353,Male,Rural,High School,5L-10L,1,0,2808,1,C,Gold,36984
3354,Male,Urban,High School,5L-10L,1,2,6038,More than 1,A,Silver,71712
3355,Male,Urban,High School,5L-10L,1,7,4404,1,A,Platinum,66504
3356,Male,Rural,Others,5L-10L,0,5,0,1,B,Gold,32328
3357,Male,Rural,High School,5L-10L,0,4,4664,More than 1,A,Gold,138372
3358,Male,Urban,Bachelor,5L-10L,0,2,2528,1,A,Gold,64344
3359,Male,Rural,Bachelor,5L-10L,1,4,0,More than 1,B,Platinum,93204
3360,Male,Urban,Bachelor,5L-10L,1,6,8335,More than 1,A,Platinum,115164
3361,Male,Urban,Bachelor,5L-10L,1,2,3986,1,A,Platinum,59136
